repository,title,labels,description
biberthomas94/AML-SaaS,SAR model + auto-draft narrative + export,"backlog,sar,cases,api,ui","## Goal
Generate SAR drafts aligned to FinCEN Form 111 and exportable.

## Acceptance Criteria
- [ ] SAR fields map stored in fields_json; narrative in markdown
- [ ] Narrative references evidence IDs, txn IDs, amounts, dates
- [ ] Export to PDF/DOCX
- [ ] Versioning with immutable history

## Agent Prompt
“Model FinCEN SAR fields. Implement draft generator using case/alert/customer data; export PDF/DOCX; version and lock after approval.”
"
biberthomas94/AML-SaaS,SAR reviewer approval gate (lock + audit hash),"backlog,sar,audit,api,ui","## Goal
Enforce human-in-the-loop approval and tamper evidence.

## Acceptance Criteria
- [ ] Only reviewer/admin can approve
- [ ] On approval, SAR is locked; audit entry stores content hash and approver
- [ ] UI shows locked state; API denies further edits

## Agent Prompt
“Add approval endpoint/UI; enforce role check; record audit hash and approver; prevent further edits once locked.”
"
biberthomas94/AML-SaaS,"Travel Rule records for ≥ $3,000 equivalent","backlog,monitoring,audit,db,api","## Goal
Capture originator/beneficiary info for qualifying CVC transfers.

## Acceptance Criteria
- [ ] When amount ≥ $3,000 (USD equiv), require originator/beneficiary fields
- [ ] Store to travel_rule_records with 5-year retention metadata
- [ ] Link record to transaction and case when applicable

## Agent Prompt
“Extend schema + ingestion to capture Travel Rule data when amount ≥ $3,000 equivalent and persist retention metadata (5y).”
"
biberthomas94/AML-SaaS,CTR candidate aggregation for cash > $10k/day,"backlog,monitoring,db,api","## Goal
Track daily cash totals to support CTR workflows.

## Acceptance Criteria
- [ ] Aggregate cash-in/out by person/day
- [ ] List of candidates with amounts + supporting details
- [ ] CSV export for filing workflow

## Agent Prompt
“Implement CTR aggregation logic for cash transactions >$10k/day and export candidate report.”
"
biberthomas94/AML-SaaS,Append-only audit log with hash chaining,"backlog,audit,api,db","## Goal
Create a tamper-evident record of sensitive actions and changes.

## Acceptance Criteria
- [ ] audit_log table is append-only (no updates/deletes)
- [ ] Each row includes a SHA-256 hash and prev_hash
- [ ] Log user, action, entity, before/after, timestamp
- [ ] Export endpoint for auditors

## Agent Prompt
“Create append-only audit_log with hash chaining; log sensitive actions; add export endpoint.”
"
biberthomas94/AML-SaaS,Rules versioning + change control UI,"backlog,monitoring,audit,ui,api","## Goal
Track every rule change with justification and allow diffs.

## Acceptance Criteria
- [ ] rule_versions table stores version, json_config, author, justification
- [ ] UI shows current vs. previous diff
- [ ] Justification text required on publish

## Agent Prompt
“Implement rules versioning and a UI to diff prior vs current, with required justification text when publishing.”
"
biberthomas94/AML-SaaS,"Dashboard & metrics (alerts, cases, SARs, FP rate)","backlog,ui,api","## Goal
Give quick visibility into operational status.

## Acceptance Criteria
- [ ] Cards: open alerts, cases by status, SARs pending
- [ ] Basic charts (alerts by typology, FP rate - simulated)
- [ ] `/metrics/overview` endpoint powers the UI

## Agent Prompt
“Build a Dashboard page calling metrics endpoints for alerts/cases/SARs and charts.”
"
biberthomas94/AML-SaaS,Demo dataset & script (kiosk scenarios),"backlog,demo,db,ui","## Goal
Seed realistic Bitcoin ATM scenarios and provide a narrated demo.

## Acceptance Criteria
- [ ] Seeds for structuring, high-velocity, sanctions hit, scam funnel
- [ ] `docs/demo-script.md` updated with step-by-step
- [ ] Screenshots/GIFs captured for PR

## Agent Prompt
“Seed realistic CVC kiosk scenarios and write a narrated demo script from Customer → Transaction → Alert → Case → SAR.”
"
biberthomas94/AML-SaaS,"Security hardening (secrets, PII, scans)","backlog,infra,security,audit","## Goal
Protect secrets and personal data; add basic security checks.

## Acceptance Criteria
- [ ] All secrets in secrets manager; no secrets in repo/logs
- [ ] Encrypt sensitive DB columns (PII) where reasonable
- [ ] Add Semgrep/OWASP ZAP light scan in CI; green by default

## Agent Prompt
“Route secrets to cloud secrets manager; encrypt sensitive columns; scrub logs; add ZAP/Semgrep CI steps.”
"
biberthomas94/AML-SaaS,UAT checklist & end-to-end sign-off,"backlog,demo,ui,api,audit","## Goal
Validate the full workflow prior to demo.

## Acceptance Criteria
- [ ] 20 end-to-end scenarios pass (onboarding → SAR lock)
- [ ] UAT checklist updated with results
- [ ] Sign-off recorded in audit_log

## Agent Prompt
“Generate UAT checklist runs across onboarding, alerts, cases, SAR, audit, Travel Rule, CTR; produce pass/fail report and write sign-off to audit_log.”
"

